model,model_type,device,img,imgsz,pred_iou_thresh,stability_score_thresh,time_ms,gpu_mem_mb,cpu_mem_mb
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,256,0.1,0.2,24935.9,2110.9,687.4
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,256,0.1,0.2,22531.9,2110.4,12.7
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,256,0.1,0.2,19800.2,2110.5,-5.5
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,256,0.1,0.2,19782.9,2110.5,1.3
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,256,0.1,0.2,18944.9,2110.4,0.5
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,256,0.1,0.6,19303.3,2110.5,4.1
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,256,0.1,0.6,19013.4,2110.4,1.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,256,0.1,0.6,19696.8,2110.5,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,256,0.1,0.6,19492.5,2110.5,0.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,256,0.1,0.6,18908.2,2110.4,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,256,0.1,0.8,19057.9,2110.5,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,256,0.1,0.8,18842.2,2110.4,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,256,0.1,0.8,19595.2,2110.5,0.1
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,256,0.1,0.8,19619.0,2110.5,-11.3
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,256,0.1,0.8,19033.2,2110.4,5.1
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,256,0.3,0.2,19205.7,2110.5,4.4
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,256,0.3,0.2,18938.7,2110.4,1.5
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,256,0.3,0.2,21476.6,2110.5,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,256,0.3,0.2,19536.5,2110.5,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,256,0.3,0.2,19029.6,2110.4,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,256,0.3,0.6,19248.7,2110.5,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,256,0.3,0.6,18760.7,2110.4,0.3
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,256,0.3,0.6,19413.8,2110.5,3.6
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,256,0.3,0.6,19613.7,2110.5,0.2
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,256,0.3,0.6,18908.7,2110.4,0.1
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,256,0.3,0.8,19100.2,2110.5,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,256,0.3,0.8,18949.5,2110.4,5.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,256,0.3,0.8,19624.9,2110.5,10.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,256,0.3,0.8,19502.6,2110.5,10.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,256,0.3,0.8,18959.4,2110.4,11.2
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,256,0.5,0.2,19269.0,2110.5,19.6
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,256,0.5,0.2,18954.7,2110.4,21.7
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,256,0.5,0.2,19663.8,2110.5,13.3
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,256,0.5,0.2,19493.0,2110.5,20.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,256,0.5,0.2,18817.0,2110.4,15.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,256,0.5,0.6,19283.9,2110.5,13.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,256,0.5,0.6,19016.4,2110.4,28.3
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,256,0.5,0.6,19698.8,2110.5,7.1
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,256,0.5,0.6,19635.5,2110.5,7.5
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,256,0.5,0.6,18970.5,2110.4,23.9
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,256,0.5,0.8,19135.8,2110.5,7.5
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,256,0.5,0.8,18880.3,2110.4,1.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,256,0.5,0.8,19558.6,2110.5,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,256,0.5,0.8,19435.0,2110.5,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,256,0.5,0.8,18954.0,2110.4,0.0
