model,device,img,imgsz,iou,conf,time_ms,gpu_mem_mb,cpu_mem_mb
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,512,0.1,0.2,1601.3,145.7,667.9
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,512,0.1,0.2,334.5,220.9,8.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,512,0.1,0.2,126.8,215.7,6.4
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,512,0.1,0.2,331.8,191.9,-10.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,512,0.1,0.2,130.2,180.7,5.9
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,512,0.1,0.6,109.8,168.2,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,512,0.1,0.6,109.9,130.1,0.6
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,512,0.1,0.6,103.8,137.4,3.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,512,0.1,0.6,126.9,127.4,-11.2
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,512,0.1,0.6,105.1,146.9,7.7
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,512,0.1,0.8,98.6,130.1,2.2
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,512,0.1,0.8,109.8,121.7,7.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,512,0.1,0.8,107.0,121.6,6.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,512,0.1,0.8,107.7,122.8,-14.2
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,512,0.1,0.8,108.4,129.6,5.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,512,0.3,0.2,104.4,158.3,0.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,512,0.3,0.2,120.3,243.3,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,512,0.3,0.2,185.6,232.5,6.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,512,0.3,0.2,223.6,198.6,-13.2
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,512,0.3,0.2,168.6,190.7,5.6
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,512,0.3,0.6,98.1,176.6,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,512,0.3,0.6,106.8,130.1,1.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,512,0.3,0.6,100.3,137.4,6.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,512,0.3,0.6,102.7,127.4,-12.7
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,512,0.3,0.6,99.2,147.8,5.6
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,512,0.3,0.8,91.0,130.1,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,512,0.3,0.8,98.8,121.7,1.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,512,0.3,0.8,109.6,121.6,6.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,512,0.3,0.8,139.3,122.8,-13.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,512,0.3,0.8,139.1,129.6,5.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,512,0.5,0.2,108.9,163.7,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,512,0.5,0.2,112.4,254.8,1.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,512,0.5,0.2,102.1,241.5,6.4
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,512,0.5,0.2,107.2,207.2,-13.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,512,0.5,0.2,103.3,203.5,5.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,512,0.5,0.6,88.2,183.4,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,512,0.5,0.6,122.5,131.0,2.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,512,0.5,0.6,131.6,137.2,6.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,512,0.5,0.6,100.2,127.4,-13.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,512,0.5,0.6,98.6,147.8,5.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,512,0.5,0.8,110.3,131.4,0.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,512,0.5,0.8,113.7,121.7,1.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,512,0.5,0.8,103.6,121.6,6.4
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,512,0.5,0.8,114.9,122.8,-13.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,512,0.5,0.8,108.9,129.6,5.3
